"filename", "language", "Dart", "comment", "blank", "total"
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/pages/staff_list_page.dart", "Dart", 57, 1, 10, 68
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/pages/tax_payment_page.dart", "Dart", 462, 9, 9, 480
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/pages/trash_request_form.dart", "Dart", 1085, 82, 25, 1192
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/pages/unit_chat_page.dart", "Dart", 144, 2, 13, 159
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/pages/validate_account.dart", "Dart", 89, 3, 7, 99
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/pages/verify_otp_page.dart", "Dart", 280, 11, 14, 305
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/pages/vision_detail_page.dart", "Dart", 72, 0, 5, 77
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/pages/vision_page.dart", "Dart", 111, 0, 8, 119
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/widgets/appeal_list.dart", "Dart", 125, 2, 12, 139
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/widgets/bottom_pin.dart", "Dart", 144, 8, 12, 164
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/widgets/form_process.dart", "Dart", 212, 3, 23, 238
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/widgets/full_map.dart", "Dart", 127, 0, 22, 149
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/widgets/horizonMenu.dart", "Dart", 59, 1, 6, 66
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/widgets/material_design_indicator.dart", "Dart", 38, 1, 10, 49
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/widgets/notification_badge.dart", "Dart", 25, 0, 4, 29
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/widgets/poi_destination.dart", "Dart", 140, 2, 8, 150
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/widgets/process_timeline.dart", "Dart", 224, 3, 23, 250
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/widgets/profile_card.dart", "Dart", 77, 1, 6, 84
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/widgets/request_list.dart", "Dart", 121, 4, 12, 137
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/widgets/tab_view.dart", "Dart", 121, 1, 7, 129
"/Users/soknathmil/Documents/test-apps/oss_app/lib/presentation/widgets/vetical_tab_view.dart", "Dart", 120, 3, 7, 130
"/Users/soknathmil/Documents/test-apps/oss_app/lib/routes/routes.dart", "Dart", 273, 0, 4, 277
"/Users/soknathmil/Documents/test-apps/oss_app/lib/utils/general_utils.dart", "Dart", 30, 0, 4, 34
"/Users/soknathmil/Documents/test-apps/oss_app/lib/utils/map_utils.dart", "Dart", 23, 0, 3, 26
"Total", "-", 13486, 481, 820, 14787
